Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1.0,73.16850092840167,0.0,0.0,30.0,806.5967233578648,0.49050390774333236,0.3243502865451964,6.594452268220785,0.0,May,3,10,1,13,Returning_Visitor,False,False
5.0,24.713170896543147,0.0,0.0,7.0,334.7368469028422,0.1825372424611309,0.15607407119452962,1.7847472380009686,0.0,Dec,2,1,4,8,New_Visitor,True,False
2.0,293.13777689185224,0.0,0.0,23.0,447.5963239257342,0.11249371177784202,0.0,1.995762131087385,0.0,Nov,6,10,6,1,New_Visitor,False,False
2.0,103.76428727084163,1.0,44.746325004713874,23.0,134.6002680554938,0.07547873124139766,0.05079158944793181,17.199141095008798,0.0,Oct,2,10,8,2,New_Visitor,True,True
2.0,98.98009746876141,0.0,0.0,17.0,1605.227078229464,0.4002877139709895,0.3683468114789748,6.563878888238894,0.0,Mar,2,9,7,2,Returning_Visitor,False,False
2.0,184.60242486986232,0.0,0.0,11.0,1915.7126602860533,0.35084306192833276,0.31008336413061327,12.573759049301307,0.8,Mar,8,5,6,18,Returning_Visitor,False,True
4.0,322.2176528420411,1.0,32.65427718965772,14.0,1128.103188060663,0.11626362969773846,0.020421042438952305,32.09657959193422,0.0,Mar,2,13,7,1,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,24.0,2474.738287915039,0.26719218714595044,0.23167743600603666,1.3900613391692798,1.0,Dec,3,5,1,1,Returning_Visitor,False,False
0.0,0.0,1.0,130.13023057596857,40.0,190.77941226198956,0.03519984855271277,0.0939263399800283,6.832852396750095,0.0,Oct,3,13,7,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,14.0,739.9105698558964,0.0460491447277056,0.045897284499419135,7.039546598787486,0.6,Nov,3,12,9,1,Returning_Visitor,True,True
0.0,0.0,2.0,183.49071286377736,12.0,1161.4433048014255,0.2372695081763261,0.161694512047435,1.2701196705812507,0.0,Mar,2,8,2,1,Returning_Visitor,False,False
2.0,54.74696922619344,0.0,0.0,7.0,286.4086013375027,0.24680590523599327,0.26087825028380945,0.6725269637767715,0.0,Dec,2,13,3,2,Returning_Visitor,False,False
3.0,14.8756753972461,1.0,5.973506954753635,16.0,1626.239802310368,0.41530126233091885,0.36621108872306335,2.3447912388785053,0.8,Nov,3,2,1,2,Returning_Visitor,False,False
1.0,74.33436483800665,0.0,0.0,8.0,1836.0737117189929,0.3568100117172293,0.29649249486663387,3.649649747515565,0.0,May,2,4,6,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,22.0,4.136606867180627,0.16905993539029004,0.16965820919540273,2.6305274086257233,0.0,May,2,6,5,2,Returning_Visitor,False,False
3.0,823.388817018481,1.0,5.0504483417342385,16.0,1275.9936003791288,0.06339568316964254,0.0069419090147164325,26.325740006568708,0.0,May,5,9,2,12,Returning_Visitor,False,True
2.0,151.46283439746983,1.0,97.49004846883365,11.0,713.1074675943012,0.2643265259586317,0.24275661495906362,0.08199912140568406,0.0,May,2,3,3,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,15.0,2691.3144628267164,0.14604482681000897,0.04960844344532345,2.531545682269734,0.0,Sep,2,3,4,2,Returning_Visitor,False,False
12.0,2626.5582787527837,2.0,145.4995371535831,22.0,1754.1756184646842,0.5947330023121203,0.40433015259689775,1.0126871864129992,0.0,May,4,4,7,1,Returning_Visitor,True,False
3.0,47.28169171123167,0.0,0.0,10.0,28.379095492237916,0.1555023455048248,0.11661205054550242,4.218033943772436,0.0,May,2,2,1,1,Returning_Visitor,False,False
0.0,0.0,1.0,48.91278865418482,13.0,1916.4988471149063,0.3440202527541996,0.27697005970433997,0.16451307534562037,0.0,Nov,5,3,6,5,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,16.0,1310.4934922387104,0.18718592303752196,0.13009409128670718,8.358968243988368,0.0,Mar,2,5,2,1,New_Visitor,True,False
0.0,0.0,0.0,0.0,3.0,414.3292502605559,0.5428899701038383,0.4052776732579402,0.2024169559554157,0.0,May,2,1,8,1,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,12.0,2.0882242733166656,0.11121081574250859,0.07695489358433014,1.0778667059110703,0.0,May,3,10,8,2,Returning_Visitor,False,False
3.0,97.41407108926342,1.0,3.4156938319285497,14.0,577.9688532121884,0.0770924580503159,0.03876539568322224,0.4775091959878438,0.8,Jun,2,8,9,2,Returning_Visitor,False,False
1.0,119.27034082115556,0.0,0.0,4.0,67.1078440982862,0.015093022991040808,0.0,13.427208080121082,0.0,Nov,2,6,2,7,Returning_Visitor,False,False
1.0,176.88772064532174,0.0,0.0,10.0,5111.01594052503,0.0842168801918372,0.09457251144551358,0.019889209718318895,0.0,May,2,12,8,3,Returning_Visitor,False,False
1.0,23.265487515538258,2.0,72.89571554167559,19.0,2233.6889609352233,0.48255946103630765,0.2405093050414828,0.5305057159599506,0.0,Sep,3,6,7,2,Returning_Visitor,True,False
2.0,135.66709227646012,0.0,0.0,20.0,785.2148809427672,0.48745049219804204,0.34459151425441137,0.5587727135210645,0.4,Oct,5,10,9,5,Returning_Visitor,True,False
2.0,87.05426063751288,0.0,0.0,4.0,102.32773618934965,0.06410774720559251,0.09632122038200702,4.50325049421593,0.0,Mar,5,5,6,2,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,13.0,2422.8008638997408,0.49120170199642627,0.34029392019003374,6.142896817735462,0.0,Nov,1,2,5,2,Returning_Visitor,False,False
3.0,860.7108963670613,0.0,0.0,18.0,1245.6213182417548,0.2582541485528321,0.19923652011505646,9.238267789984128,0.0,Mar,2,11,2,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,15.0,233.94342425443898,0.32704674173517245,0.2815873119199746,0.3421061557937429,0.6,Mar,6,13,2,5,Returning_Visitor,False,False
2.0,127.32755321146855,2.0,9.217172761213352,21.0,8040.831745525493,0.40312430837324986,0.32014814992662954,0.432884953575595,0.4,Dec,2,12,8,5,Returning_Visitor,False,False
2.0,121.10310381682899,2.0,67.68228422701075,19.0,195.43815948243926,0.26568479982915305,0.24532042637649143,17.50351424553252,0.0,Dec,2,7,5,5,Returning_Visitor,False,False
1.0,162.4048521327705,0.0,0.0,12.0,647.055834908068,0.3544769371341086,0.23192328653298627,0.12980269926982743,0.0,Nov,2,9,2,1,Returning_Visitor,False,False
3.0,362.39698928240574,2.0,191.9493902125048,21.0,44.24497325981643,0.2438533116262813,0.20851364341448833,2.818635572953049,1.0,May,3,7,5,5,Returning_Visitor,False,False
1.0,27.074490592839325,2.0,25.57857548477482,7.0,686.2833016539015,0.16161301459159583,0.16307694421294594,18.344229345987838,0.0,Mar,2,5,6,2,Returning_Visitor,False,True
7.0,413.3369188762661,0.0,0.0,12.0,1730.766055224137,0.2759071670189418,0.2071459348300951,5.438607454691782,0.0,Nov,2,8,9,1,Returning_Visitor,True,False
1.0,38.00764293070492,0.0,0.0,8.0,561.0428723139911,0.04524138604430327,0.0,1.7996990551035033,0.0,May,3,3,5,1,Returning_Visitor,False,True
5.0,174.27247494646275,0.0,0.0,10.0,295.7433207754867,0.07183978275991812,0.0639532325071318,25.54230576233107,0.0,Mar,2,11,3,1,Returning_Visitor,True,True
1.0,105.0310367156821,0.0,0.0,20.0,192.0468392677601,0.13751187171229595,0.08819960401910301,1.0906904802279542,0.0,Aug,5,9,4,1,Returning_Visitor,True,False
2.0,146.36638620315142,0.0,0.0,6.0,86.88659993227897,0.38255231199710205,0.26928142964850027,1.8663251664288993,0.0,Mar,2,13,9,1,Returning_Visitor,True,False
2.0,35.48850914364043,0.0,0.0,14.0,751.1550985113279,0.08342919169573328,0.060686338648900856,1.6881823034509797,0.0,Dec,2,1,7,4,Returning_Visitor,False,False
13.0,1008.1879444897102,0.0,0.0,35.0,3918.7036461148164,0.4931252155237211,0.36087296817919523,4.937373082185793,0.0,May,2,2,2,1,New_Visitor,False,False
3.0,149.51977867245316,1.0,12.000178672698333,8.0,789.1544948151844,0.40436451431653925,0.2857509559274718,0.3511354070198549,0.0,Nov,5,2,8,5,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,9.0,511.23838082811676,0.21351715814082872,0.1959362352010372,3.512543880850131,0.0,May,3,4,9,2,Returning_Visitor,False,False
2.0,11.015372700490342,0.0,0.0,6.0,483.005427797332,0.17837747304209325,0.1458397755299156,3.4909424855303115,0.0,Sep,3,6,9,5,Returning_Visitor,False,False
2.0,422.520424421777,0.0,0.0,6.0,92.11718799764505,0.630420192631669,0.5126007401929278,64.06410635841397,0.0,Sep,5,7,5,5,Returning_Visitor,False,True
6.0,949.5310292827747,1.0,14.988964325907002,3.0,134.97644936294967,0.043433592062022144,0.05906453808429683,3.0147403342938768,0.0,May,3,5,3,1,New_Visitor,True,False
2.0,57.87520886719217,1.0,21.516875397339554,14.0,246.39149066780985,0.38663299302685683,0.2757401130354262,1.2124720003886083,0.0,Dec,2,8,9,5,Returning_Visitor,False,False
3.0,195.0485438361967,0.0,0.0,13.0,60.826976096716564,0.1320543490969922,0.07714545026472722,1.1792901349613627,0.4,Nov,3,8,8,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,3.0,1362.2659864923548,0.48528999867017997,0.3898002409462768,3.1808924748109773,0.4,Dec,5,1,1,1,Returning_Visitor,False,False
2.0,117.2506279034277,1.0,17.245715121341313,22.0,1354.3694361294918,0.18831270967815503,0.158413146290896,3.014127969811667,0.0,Dec,8,4,1,5,Returning_Visitor,False,False
3.0,36.705511283098666,2.0,202.23246350719518,5.0,266.00175322571704,0.3348607176147796,0.20932809552204235,3.8144003467024876,0.2,Oct,1,2,6,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,20.0,1462.6904084990772,0.04648605256114993,0.03446788103440217,3.0716378004375793,0.0,Dec,2,9,5,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,27.0,1708.199895831298,0.22919231558764336,0.15077222609429372,0.6082909092472712,0.0,Mar,3,7,9,1,Returning_Visitor,False,False
2.0,97.94603926266198,0.0,0.0,13.0,200.6269724276326,0.2659994396796051,0.17621269321173583,21.132676878137612,0.0,May,8,3,4,18,Returning_Visitor,True,True
1.0,150.70267111919313,0.0,0.0,21.0,543.7314888235103,0.548913287000217,0.413037525621105,0.785267589587185,0.0,Mar,2,2,7,20,New_Visitor,False,False
0.0,0.0,0.0,0.0,7.0,399.25649669994243,0.3356768972327225,0.23825156476988574,3.421115734437759,1.0,May,3,13,5,19,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,11.0,646.1267067461753,0.21997824184985398,0.16838073923485064,40.24947381945074,0.0,May,2,13,4,20,Returning_Visitor,False,True
5.0,105.92253722400099,0.0,0.0,5.0,146.2020991070047,0.24136786456287335,0.1069595146739188,2.2669781420738184,1.0,May,2,2,7,5,New_Visitor,False,False
2.0,144.11814110907682,2.0,18.58400934416271,4.0,612.6971026948057,0.43343632278874605,0.3481239029124505,5.001523124417836,0.8,Nov,1,8,6,20,Returning_Visitor,False,False
5.0,222.1015223729595,0.0,0.0,18.0,4204.0012878647885,0.10621595668566078,0.04570051127568183,6.075093996649327,0.0,May,3,6,5,13,New_Visitor,False,False
0.0,0.0,0.0,0.0,15.0,2169.605602968829,0.16602270474279318,0.15711553885808843,4.791532464326429,0.0,May,5,3,4,5,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,9.0,839.8409779740566,0.25451830919218704,0.16133254871751396,3.3529925925063253,0.0,Sep,2,12,4,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,4.0,206.45624472983792,0.3486380107375894,0.3162157092363024,1.0234376483606702,0.0,Mar,2,2,3,2,Returning_Visitor,False,False
5.0,671.4703173182361,0.0,0.0,18.0,211.94846911291444,0.39036062899756874,0.32314495997387616,1.8384947180114668,0.0,Nov,2,7,9,1,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,6.0,11.24687379694612,0.07991588271563146,0.13929461536550794,6.540257531315288,0.0,Mar,2,8,4,3,Returning_Visitor,True,False
8.0,156.97518807384137,0.0,0.0,23.0,2214.031779142439,0.0178787687302521,0.0,2.564811178825043,0.0,Dec,2,1,3,2,Returning_Visitor,False,True
0.0,0.0,1.0,38.233212381833795,15.0,6.546290990019642,0.2678349359465627,0.19277659091376878,3.1800898198380336,0.0,Nov,2,7,3,7,Returning_Visitor,False,False
0.0,0.0,1.0,157.39596656695093,25.0,5642.30615459326,0.08212301735959647,0.13800233775915438,5.674419870621081,0.0,May,3,1,7,5,Returning_Visitor,False,False
0.0,0.0,1.0,63.177972795108516,9.0,183.1269974534796,0.022779472378025575,0.0,11.43944236418835,0.0,Feb,1,11,3,2,Returning_Visitor,False,False
4.0,163.908421123499,1.0,24.565732282788737,7.0,143.1610699440726,0.17454124333790932,0.19828299793197302,1.8367708449805833,0.8,Nov,3,2,4,2,Returning_Visitor,False,False
6.0,82.33064104226449,1.0,3.6240649807312,4.0,1394.7857498764295,0.04111155422150421,0.022791190442774292,5.756650178426195,0.0,Nov,4,6,4,1,Other,True,False
1.0,68.56490270347622,0.0,0.0,9.0,67.32527124135518,0.011512179338225282,0.0,0.6186570888217611,0.8,Nov,5,12,1,12,Returning_Visitor,False,False
1.0,56.301060415421546,0.0,0.0,29.0,3245.76322973054,0.11836921619494231,0.10984141832076613,18.737744738265395,0.0,Nov,4,4,6,5,Returning_Visitor,False,True
2.0,82.29249821656724,0.0,0.0,8.0,217.25498394558628,0.0552549082096891,0.023397411766878595,5.6448442739949405,0.0,Mar,2,5,3,5,Returning_Visitor,False,True
1.0,6.399933635298901,0.0,0.0,4.0,46.83175787771465,0.04408246732103051,0.034321110451112295,17.774309849661016,0.0,May,5,10,1,16,New_Visitor,True,True
2.0,168.4112883608856,0.0,0.0,7.0,287.0078384712484,0.1531720239435532,0.029059481417101574,6.333290529822473,0.0,Mar,4,6,9,10,New_Visitor,False,True
2.0,159.83308695807426,0.0,0.0,21.0,703.0958768928488,0.17962657371052898,0.1980684385640289,3.8320810706931123,0.0,Dec,3,5,9,20,Returning_Visitor,False,False
1.0,65.51057024884211,0.0,0.0,35.0,3322.286102249278,0.06465585887347189,0.04747447361343311,0.5792517076225107,0.0,Nov,3,8,5,2,New_Visitor,False,False
3.0,33.833698340390214,0.0,0.0,16.0,281.89098119106905,0.47001631980816866,0.3551027575611207,11.547598584638653,0.0,May,2,12,1,20,Returning_Visitor,False,False
2.0,57.71800117574898,0.0,0.0,8.0,954.0962762144324,0.04554314032949474,0.0753085815391189,6.927413758871802,0.0,Mar,2,8,6,2,New_Visitor,False,False
1.0,50.76885434240046,0.0,0.0,10.0,210.65196053575545,0.2410703685635003,0.11407071493186316,3.0246337182354157,0.0,May,2,13,9,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,11.0,114.19618103875894,0.011368256464936473,0.0,0.7390337393606151,0.2,May,2,9,2,11,Returning_Visitor,False,False
5.0,100.87775101199739,0.0,0.0,6.0,235.27032340015887,0.39712838399998257,0.3118716756716599,20.37085590002711,0.0,Nov,2,10,3,20,Returning_Visitor,False,True
6.0,774.5756026023627,0.0,0.0,8.0,1729.7026298272438,0.39908094313589737,0.24618052533389245,3.132622068911292,0.0,Nov,2,4,5,5,Returning_Visitor,False,False
5.0,153.7746974884871,0.0,0.0,13.0,460.48184226627603,0.3571754710135783,0.2392849007934331,3.217593230769295,1.0,Dec,3,4,5,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,19.0,2365.1017416929194,0.021261088029410846,0.08596169391808561,0.886236429585578,0.0,Jul,2,5,1,5,Returning_Visitor,True,False
